ローマ人の物語14 パクス・ロマーナ（上）,BOOKOFF,2025/05/05,2025/05/18,2
古代アメリカ文明 マヤ・アステカ・ナスカ・インカの実像,Audible,2025/05/08,中止,2
教養としての「世界史」の読み方,Audible,2025/05/10,2025/05/16,5
ナチ前夜 ワイマル共和国と政治的暴力,Audible,2025/05/16,2025/05/21,4
ローマ人の物語15 パクス・ロマーナ（中）,BOOKOFF,2025/05/18,2025/06/09,2
トヨトミの野望,Audible,2025/05/21,2025/05/26,5
トヨトミの逆襲,Audible,2025/05/27,2025/05/29,4
砂糖の世界史,Audible,2025/05/30,中止,2
シャーロック・ホームズ傑作選／赤毛連盟,Audible,2025/06/01,中止,1
中国、朝鮮、ベトナム、日本−極東アジアの地政学,Audible,2025/06/01,2025/06/06,5
教養としての世界の政党,Audible,2025/06/06,2025/06/09,4
ローマ人の物語16 パクス・ロマーナ（下）,BOOKOFF,2025/06/10,2025/06/11,3
ウクライナ戦争は世界をどう変えたか 「独裁者の論理」と試される「日本の論理」,Audible,2025/06/11,2025/06/14,3
ローマ人の物語17 悪名高き皇帝たち（1）,BOOKOFF,2025/06/12,2025/06/16,2
西洋の敗北 日本と世界に何が起きるのか,Audible,2025/06/14,2025/06/20,3
ローマ人の物語18 悪名高き皇帝たち（2）,BOOKOFF,2025/06/16,2025/06/20,3
中国ぎらいのための中国史,Audible,2025/06/20,2025/06/22,3
ローマ人の物語19 悪名高き皇帝たち（3）,BOOKOFF,2025/06/21,2025/06/26,3
世界史の構造的理解 現代の「見えない皇帝」と日本の武器,BOOKOFF,2025/06/22,中止,2
ガザ 日本人外交官が見たイスラエルとパレスチナ,Audible,2025/06/24,2025/06/26,3
ローマ人の物語20 悪名高き皇帝たち（4）,BOOKOFF,2025/06/26,2025/07/04,3
銃・病原菌・鉄（上）,Audible,2025/06/28,2025/07/03,5
銃・病原菌・鉄（下）,Audible,2025/07/03,2025/07/07,4
ローマ人の物語21 危機と克服（上）,BOOKOFF,2025/07/05,2025/07/11,3
民族と文明で読み解く大アジア史,Audible,2025/07/07,2025/07/11,3
東大生に教える日本史,Audible,2025/07/11,2025/07/18,2
ローマ人の物語22 危機と克服（中）,BOOKOFF,2025/07/11,2025/07/18,3
池上彰の世界の見方 アフリカ,Audible,2025/07/18,2025/07/18,2
仏教「超」入門,Audible,2025/07/18,中止,1
ローマ人の物語23 危機と克服（下）,BOOKOFF,2025/07/18,2025/07/28,3
日雇い浪人生活録（1）金の価値,Audible,2025/07/19,2025/07/22,5
日雇い浪人生活録（2）金の諍い,Audible,2025/07/22,2025/07/25,5
日雇い浪人生活録（3）金の策謀,Audible,2025/07/25,2025/07/28,4
日雇い浪人生活録（4）金の権能,Audible,2025/07/28,2025/07/31,4
ローマ人の物語24 賢帝の世紀（上）,BOOKOFF,2025/07/28,2025/08/12,3
日雇い浪人生活録（5）金の邀撃,Audible,2025/07/31,2025/08/01,4
勘定吟味役異聞（1）破斬,Audible,2025/08/02,2025/08/05,3
三河雑兵心得（1）足軽仁義,Audible,2025/08/06,2025/08/07,2
勘定吟味役異聞（2）熾火,Audible,2025/08/07,中止,2
世界史の考え方 シリーズ歴史総合を学ぶ①,Audible,2025/08/08,中止,1
鉄道路線に翻弄される地域社会,Audible,2025/08/08,2025/08/12,3
ローマ人の物語25 賢帝の世紀（中）,BOOKOFF,2025/08/12,2025/08/31,3
爆弾,Audible,2025/08/14,2025/08/17,3
地雷グリコ,Audible,2025/08/18,2025/08/20,5
十戒,Audible,2025/08/21,2025/08/23,3
体育館の殺人,Audible,2025/08/24,2025/08/28,5
水族館の殺人,Audible,2025/08/29,2025/09/02,4
風ヶ丘五十円玉祭りの謎,Audible,2025/09/02,2025/09/05,2
ローマ人の物語26 賢帝の世紀（下）,BOOKOFF,2025/09/02,2025/09/04,3
図書館の殺人,Audible,2025/09/05,2025/09/09,4
ローマ人の物語27 すべての道はローマに通ず（上）,BOOKOFF,2025/09/05,中止,
ローマ人の物語29 終わりの始まり（上）,BOOKOFF,2025/09/09,2025/09/23,3
イニシエーション・ラブ,Audible,2025/09/09,2025/09/12,3
セカンド・ラブ,Audible,2025/09/12,2025/09/15,3
汚れた手をそこで拭かない,Audible,2025/09/16,2025/09/17,2
葉桜の季節に君を想うということ,Audible,2025/09/18,2025/09/23,3
すべてがFになる,Audible,2025/09/23,中止,1
ハサミ男,Audible,2025/09/23,中止,1
ローマ人の物語30 終わりの始まり（中）,BOOKOFF,2025/09/23,2025/10/04,3
硝子の塔の殺人,Audible,2025/09/24,2025/09/26,4
謎解きはディナーのあとで,Audible,2025/09/26,中止,1
六人の嘘つきな大学生,Audible,2025/09/27,2025/09/29,5
店長がバカすぎて,Audible,2025/09/30,2025/10/03,3
新！店長がバカすぎて,Audible,2025/10/03,中止,2
全員犯人、だけど被害者、しかも探偵,Audible,2025/10/03,2025/10/07,2
ローマ人の物語31 終わりの始まり（下）,BOOKOFF,2025/10/07,2025/10/09,3
60歳から読み直したい名著70,Audible,2025/10/08,2025/10/10,2
あの国の本当の思惑を見抜く地政学,Audible,2025/10/10,2025/10/13,3
